serial,date,year,year_n,month,team,team_,status,home_score,away_score,home_result,away_result,result_desc,tournament,city,country,result,size,decade,random,home_team,home_team_,away_team,away_team_
220,30/09/1974,1974,4,9,Libya,Libya,home_team,9,1,8,-8,winner,Friendly,Damascus,Syria,8,8,3,0.735722248,Libya,Libya,Yemen,Yemen
220,30/09/1974,1974,4,9,Yemen,Yemen,away_team,9,1,8,-8,loser,Friendly,Damascus,Syria,-8,8,3,0.93299171,Libya,Libya,Yemen,Yemen
221,30/09/1974,1974,4,9,Palestine,Palestine,home_team,1,3,-2,2,loser,Friendly,Damascus,Syria,-2,2,3,0.539948459,Palestine,Palestine,Sudan,Sudan
221,30/09/1974,1974,4,9,Sudan,Sudan,away_team,1,3,-2,2,winner,Friendly,Damascus,Syria,2,2,3,0.738617426,Palestine,Palestine,Sudan,Sudan
222,01/10/1974,1974,4,10,Morocco,Morocco,home_team,3,1,2,-2,winner,Friendly,Damascus,Syria,2,2,3,0.269071246,Morocco,Morocco,Tunisia,Tunisia
222,01/10/1974,1974,4,10,Tunisia,Tunisia,away_team,3,1,2,-2,loser,Friendly,Damascus,Syria,-2,2,3,0.201781697,Morocco,Morocco,Tunisia,Tunisia
223,02/10/1974,1974,4,10,Libya,Libya,home_team,0,0,0,0,draw,Friendly,Damascus,Syria,0,0,3,0.416161245,Libya,Libya,Palestine,Palestine
223,02/10/1974,1974,4,10,Palestine,Palestine,away_team,0,0,0,0,draw,Friendly,Damascus,Syria,0,0,3,0.150373369,Libya,Libya,Palestine,Palestine
224,03/10/1974,1974,4,10,Algeria,Algeria,home_team,0,1,-1,1,loser,Friendly,Damascus,Syria,-1,1,3,0.033874907,Algeria,Algeria,Tunisia,Tunisia
224,03/10/1974,1974,4,10,Tunisia,Tunisia,away_team,0,1,-1,1,winner,Friendly,Damascus,Syria,1,1,3,0.568532555,Algeria,Algeria,Tunisia,Tunisia
225,04/10/1974,1974,4,10,Libya,Libya,home_team,1,3,-2,2,loser,Friendly,Damascus,Syria,-2,2,3,0.908196402,Libya,Libya,Sudan,Sudan
225,04/10/1974,1974,4,10,Sudan,Sudan,away_team,1,3,-2,2,winner,Friendly,Damascus,Syria,2,2,3,0.269055323,Libya,Libya,Sudan,Sudan
226,04/10/1974,1974,4,10,Syria,Syria,home_team,6,0,6,-6,winner,Friendly,Damascus,Syria,6,6,3,0.860562279,Syria,Syria,Yemen,Yemen
