serial,date,year,year_n,month,team,team_,status,home_score,away_score,home_result,away_result,result_desc,tournament,city,country,result,size,decade,random,home_team,home_team_,away_team,away_team_
327,04/07/1978,1978,8,7,Algeria,Algeria,home_team,0,0,0,0,draw,Friendly,Algiers,Algeria,0,0,3,0.452226382,Algeria,Algeria,Iraq,Iraq
327,04/07/1978,1978,8,7,Iraq,Iraq,away_team,0,0,0,0,draw,Friendly,Algiers,Algeria,0,0,3,0.794947062,Algeria,Algeria,Iraq,Iraq
328,15/07/1978,1978,8,7,Iraq,Iraq,home_team,2,1,1,-1,winner,Merdeka Tournament,Kuala Lumpur,Malaysia,1,1,3,0.744666523,Iraq,Iraq,Syria,Syria
328,15/07/1978,1978,8,7,Syria,Syria,away_team,2,1,1,-1,loser,Merdeka Tournament,Kuala Lumpur,Malaysia,-1,1,3,0.570796259,Iraq,Iraq,Syria,Syria
329,20/09/1978,1978,8,9,Libya,Libya,home_team,2,0,2,-2,winner,Friendly,Tripoli,Libya,2,2,3,0.349641909,Libya,Libya,Yemen,Yemen
329,20/09/1978,1978,8,9,Yemen,Yemen,away_team,2,0,2,-2,loser,Friendly,Tripoli,Libya,-2,2,3,0.568694066,Libya,Libya,Yemen,Yemen
330,19/12/1978,1978,8,12,Syria,Syria,home_team,2,1,1,-1,winner,Friendly,Damascus,Syria,1,1,3,0.230271945,Syria,Syria,Tunisia,Tunisia
330,19/12/1978,1978,8,12,Tunisia,Tunisia,away_team,2,1,1,-1,loser,Friendly,Damascus,Syria,-1,1,3,0.026660608,Syria,Syria,Tunisia,Tunisia
331,23/03/1979,1979,9,3,Iraq,Iraq,home_team,4,0,4,-4,winner,Gulf Cup,Baghdad,Iraq,4,4,3,0.059185482,Iraq,Iraq,Bahrain,Bahrain
331,23/03/1979,1979,9,3,Bahrain,Bahrain,away_team,4,0,4,-4,loser,Gulf Cup,Baghdad,Iraq,-4,4,3,0.071084633,Iraq,Iraq,Bahrain,Bahrain
332,24/03/1979,1979,9,3,Kuwait,Kuwait,home_team,3,1,2,-2,winner,Gulf Cup,Baghdad,Iraq,2,2,3,0.607185899,Kuwait,Kuwait,Qatar,Qatar
332,24/03/1979,1979,9,3,Qatar,Qatar,away_team,3,1,2,-2,loser,Gulf Cup,Baghdad,Iraq,-2,2,3,0.417626601,Kuwait,Kuwait,Qatar,Qatar
410,03/10/1982,1982,2,10,Saudi Arabia,Saudi_Arabia,home_team,2,1,1,-1,winner,Friendly,Riyadh,Saudi Arabia,1,1,4,0.650970673,Saudi Arabia,Saudi_Arabia,Morocco,Morocco
418,21/02/1984,1984,4,2,Saudi Arabia,Saudi_Arabia,home_team,4,2,2,-2,winner,Friendly,Riyadh,Saudi Arabia,2,2,4,0.320123752,Saudi Arabia,Saudi_Arabia,Algeria,Algeria
334,27/03/1979,1979,9,3,Iraq,Iraq,home_team,2,0,2,-2,winner,Gulf Cup,Baghdad,Iraq,2,2,3,0.132977348,Iraq,Iraq,Qatar,Qatar
334,27/03/1979,1979,9,3,Qatar,Qatar,away_team,2,0,2,-2,loser,Gulf Cup,Baghdad,Iraq,-2,2,3,0.12033462,Iraq,Iraq,Qatar,Qatar
335,27/03/1979,1979,9,3,Bahrain,Bahrain,home_team,3,0,3,-3,winner,Gulf Cup,Baghdad,Iraq,3,3,3,0.106239596,Bahrain,Bahrain,UAE,UAE
423,10/03/1984,1984,4,3,Saudi Arabia,Saudi_Arabia,home_team,1,2,-1,1,loser,Gulf Cup,Muscat,Oman,-1,1,4,0.347414926,Saudi Arabia,Saudi_Arabia,Qatar,Qatar
428,15/03/1984,1984,4,3,Saudi Arabia,Saudi_Arabia,away_team,1,3,-2,2,winner,Gulf Cup,Muscat,Oman,2,2,4,0.874394688,Oman,Oman,Saudi Arabia,Saudi_Arabia
336,28/03/1979,1979,9,3,Oman,Oman,away_team,4,0,4,-4,loser,Gulf Cup,Baghdad,Iraq,-4,4,3,0.352720681,Saudi Arabia,Saudi_Arabia,Oman,Oman
337,29/03/1979,1979,9,3,Qatar,Qatar,home_team,1,0,1,-1,winner,Gulf Cup,Baghdad,Iraq,1,1,3,0.076663342,Qatar,Qatar,UAE,UAE
431,17/03/1984,1984,4,3,Saudi Arabia,Saudi_Arabia,away_team,4,0,4,-4,loser,Gulf Cup,Muscat,Oman,-4,4,4,0.83274309,Iraq,Iraq,Saudi Arabia,Saudi_Arabia
338,30/03/1979,1979,9,3,Bahrain,Bahrain,home_team,3,1,2,-2,winner,Gulf Cup,Baghdad,Iraq,2,2,3,0.244649222,Bahrain,Bahrain,Oman,Oman
338,30/03/1979,1979,9,3,Oman,Oman,away_team,3,1,2,-2,loser,Gulf Cup,Baghdad,Iraq,-2,2,3,0.646484938,Bahrain,Bahrain,Oman,Oman
339,30/03/1979,1979,9,3,Iraq,Iraq,home_team,3,1,2,-2,winner,Gulf Cup,Baghdad,Iraq,2,2,3,0.085908825,Iraq,Iraq,Kuwait,Kuwait
339,30/03/1979,1979,9,3,Kuwait,Kuwait,away_team,3,1,2,-2,loser,Gulf Cup,Baghdad,Iraq,-2,2,3,0.707004514,Iraq,Iraq,Kuwait,Kuwait
340,01/04/1979,1979,9,4,Oman,Oman,home_team,0,1,-1,1,loser,Gulf Cup,Baghdad,Iraq,-1,1,3,0.677962168,Oman,Oman,Qatar,Qatar
340,01/04/1979,1979,9,4,Qatar,Qatar,away_team,0,1,-1,1,winner,Gulf Cup,Baghdad,Iraq,1,1,3,0.880520764,Oman,Oman,Qatar,Qatar
341,01/04/1979,1979,9,4,Kuwait,Kuwait,home_team,7,0,7,-7,winner,Gulf Cup,Baghdad,Iraq,7,7,3,0.590435001,Kuwait,Kuwait,UAE,UAE
435,20/03/1984,1984,4,3,Saudi Arabia,Saudi_Arabia,home_team,1,1,0,0,draw,Gulf Cup,Muscat,Oman,0,0,4,0.106657783,Saudi Arabia,Saudi_Arabia,Kuwait,Kuwait
439,23/03/1984,1984,4,3,Saudi Arabia,Saudi_Arabia,home_team,2,0,2,-2,winner,Gulf Cup,Muscat,Oman,2,2,4,0.510069586,Saudi Arabia,Saudi_Arabia,UAE,UAE
