date,day,home_team,home_team_,away_team,away_team_,home_score,away_score,tournament,city,country,year,year_n,month,home_result,away_result,result,total_goals,home_result_desc,away_result_desc,serial,decade,home_group,away_group,home_random,away_random
04/11/2014,4,Kuwait,Kuwait,Yemen,Yemen,1,1,Friendly,Abu Dhabi,United Arab Emirates,2014,4,11,0,0,0,2,draw,draw,1721,7,0,1,0.25251023,0.259628165
31/12/2003,31,Oman,Oman,UAE,UAE,2,0,Gulf Cup,Kuwait City,Kuwait,2003,3,12,2,-2,2,2,winner,loser,1139,6,1,0,0.17010491,0.908865594
27/12/2008,27,UAE,UAE,Iraq,Iraq,2,2,Friendly,Al Ain,United Arab Emirates,2008,8,12,0,0,0,4,draw,draw,1419,6,0,0,0.08407871,0.006750538
07/11/2014,7,Oman,Oman,Yemen,Yemen,2,0,Friendly,Muscat,Oman,2014,4,11,2,-2,2,2,winner,loser,1724,7,1,1,0.78486352,0.214949674
30/12/2008,30,UAE,UAE,Kuwait,Kuwait,0,0,Friendly,Dubai,United Arab Emirates,2008,8,12,0,0,0,0,draw,draw,1421,6,0,0,0.58812222,0.035271437
13/11/2014,13,Yemen,Yemen,Bahrain,Bahrain,0,0,Gulf Cup,Riyadh,Saudi Arabia,2014,4,11,0,0,0,0,draw,draw,1726,7,1,0,0.05428505,0.222723948
14/11/2014,14,Iraq,Iraq,Kuwait,Kuwait,0,1,Gulf Cup,Riyadh,Saudi Arabia,2014,4,11,-1,1,1,1,loser,winner,1727,7,0,0,0.18318933,0.628174178
05/01/2009,5,UAE,UAE,Yemen,Yemen,3,1,Gulf Cup,Muscat,Oman,2009,9,1,2,-2,2,4,winner,loser,1426,6,0,1,0.81803047,0.622990365
11/01/2004,11,Yemen,Yemen,UAE,UAE,0,3,Gulf Cup,Kuwait City,Kuwait,2004,4,1,-3,3,3,3,loser,winner,1152,6,1,0,0.48287227,0.569829135
16/11/2014,16,Yemen,Yemen,Qatar,Qatar,0,0,Gulf Cup,Riyadh,Saudi Arabia,2014,4,11,0,0,0,0,draw,draw,1730,7,1,1,0.97959512,0.251341874
17/11/2014,17,Iraq,Iraq,Oman,Oman,1,1,Gulf Cup,Riyadh,Saudi Arabia,2014,4,11,0,0,0,2,draw,draw,1731,7,0,1,0.84903947,0.789272054
10/10/2009,10,UAE,UAE,Palestine,Palestine,1,1,Friendly,Dubai,United Arab Emirates,2009,9,10,0,0,0,2,draw,draw,1460,6,0,0,0.69711249,0.399240333
19/11/2014,19,Bahrain,Bahrain,Qatar,Qatar,0,0,Gulf Cup,Riyadh,Saudi Arabia,2014,4,11,0,0,0,0,draw,draw,1733,7,0,1,0.55613763,0.955298187
14/10/2009,14,UAE,UAE,Jordan,Jordan,3,1,Friendly,Dubai,United Arab Emirates,2009,9,10,2,-2,2,4,winner,loser,1462,6,0,1,0.44854109,0.433796374
19/11/2014,19,Tunisia,Tunisia,Egypt,Egypt,2,1,African Cup of Nations qualification,Monastir,Tunisia,2014,4,11,1,-1,1,3,winner,loser,1735,7,1,1,0.98694409,0.791261687
20/11/2014,20,Kuwait,Kuwait,Oman,Oman,0,5,Gulf Cup,Riyadh,Saudi Arabia,2014,4,11,-5,5,5,5,loser,winner,1736,7,0,1,0.33968771,0.526926642
18/11/2009,18,UAE,UAE,Iraq,Iraq,0,1,Friendly,al-Ain,United Arab Emirates,2009,9,11,-1,1,1,1,loser,winner,1467,6,0,0,0.96732914,0.787369605
23/11/2014,23,Oman,Oman,Qatar,Qatar,1,3,Gulf Cup,Riyadh,Saudi Arabia,2014,4,11,-2,2,2,4,loser,winner,1738,7,1,1,0.44459113,0.656195446
07/09/2010,7,UAE,UAE,Kuwait,Kuwait,3,0,Friendly,Abu Dhabi,United Arab Emirates,2010,0,9,3,-3,3,3,winner,loser,1483,7,0,0,0.77008226,0.60043436
26/11/2010,26,UAE,UAE,Oman,Oman,0,0,Gulf Cup,Aden,Yemen,2010,0,11,0,0,0,0,draw,draw,1507,7,0,1,0.5166581,0.30546853
