date,day,home_team,home_team_,away_team,away_team_,home_score,away_score,tournament,city,country,year,year_n,month,home_result,away_result,result,total_goals,home_result_desc,away_result_desc,serial,decade,home_group,away_group,home_random,away_random
10/02/1957,10,Sudan,Sudan,Egypt,Egypt,1,2,African Cup of Nations,Khartoum,Sudan,1957,7,2,-1,1,1,3,loser,winner,1,1,1,1,0.48106548,0.737720969
17/02/1957,17,Sudan,Sudan,Egypt,Egypt,3,4,Friendly,Khartoum,Sudan,1957,7,2,-1,1,1,7,loser,winner,2,1,1,1,0.90727885,0.152371585
08/03/1957,8,Sudan,Sudan,Syria,Syria,1,0,FIFA World Cup qualification,Khartoum,Sudan,1957,7,3,1,-1,1,1,winner,loser,3,1,1,0,0.41440975,0.229913097
24/05/1957,24,Syria,Syria,Sudan,Sudan,1,1,FIFA World Cup qualification,Damascus,Syria,1957,7,5,0,0,0,2,draw,draw,4,1,0,1,0.37185405,0.617235233
02/06/1957,2,Tunisia,Tunisia,Libya,Libya,4,2,Friendly,Tunis,Tunisia,1957,7,6,2,-2,2,6,winner,loser,5,1,1,0,0.09837726,0.156429602
03/04/1958,3,Morocco,Morocco,Libya,Libya,3,1,Friendly,Casablanca,Morocco,1958,8,4,2,-2,2,4,winner,loser,6,1,0,0,0.17301631,0.339381324
09/05/1958,9,Tunisia,Tunisia,Libya,Libya,4,1,Friendly,Tunis,Tunisia,1958,8,5,3,-3,3,5,winner,loser,7,1,1,0,0.75866195,0.97993179
29/05/1959,29,Egypt,Egypt,Sudan,Sudan,2,1,African Cup of Nations,Cairo,United Arab Republic,1959,9,5,1,-1,1,3,winner,loser,8,1,1,1,0.74888634,0.542249327
05/06/1960,5,Tunisia,Tunisia,Iraq,Iraq,2,1,Friendly,Tunis,Tunisia,1960,0,6,1,-1,1,3,winner,loser,9,1,1,0,0.07806237,0.475085667
30/10/1960,30,Morocco,Morocco,Tunisia,Tunisia,2,1,FIFA World Cup qualification,Casablanca,Morocco,1960,0,10,1,-1,1,3,winner,loser,10,1,0,1,0.59604626,0.260560315
13/11/1960,13,Tunisia,Tunisia,Morocco,Morocco,2,1,FIFA World Cup qualification,Tunis,Tunisia,1960,0,11,1,-1,1,3,winner,loser,11,1,1,0,0.27777704,0.789354838
23/12/1960,23,Iraq,Iraq,Tunisia,Tunisia,3,2,Friendly,Baghdad,Iraq,1960,0,12,1,-1,1,5,winner,loser,12,1,0,1,0.53521919,0.080267883
22/02/1961,22,Morocco,Morocco,Tunisia,Tunisia,1,1,FIFA World Cup qualification,Palermo,Italy,1961,1,2,0,0,0,2,draw,draw,13,2,0,1,0.71359145,0.768873488
11/03/1962,11,Libya,Libya,Tunisia,Tunisia,6,3,Friendly,Tripoli,Libya,1962,2,3,3,-3,3,9,winner,loser,14,2,0,1,0.2248067,0.40670467
03/06/1962,3,Tunisia,Tunisia,Libya,Libya,2,2,Friendly,Tunis,Tunisia,1962,2,6,0,0,0,4,draw,draw,15,2,1,0,0.87418118,0.105958277
06/01/1963,6,Kuwait,Kuwait,Jordan,Jordan,2,1,Friendly,Kuwait City,Kuwait,1963,3,1,1,-1,1,3,winner,loser,16,2,0,1,0.0881714,0.39993026
03/03/1963,3,Tunisia,Tunisia,Kuwait,Kuwait,2,1,Friendly,Tunis,Tunisia,1963,3,3,1,-1,1,3,winner,loser,17,2,1,0,0.04467656,0.84214577
31/03/1963,31,Lebanon,Lebanon,Kuwait,Kuwait,6,0,UAFA Cup,Beirut,Lebanon,1963,3,3,6,-6,6,6,winner,loser,18,2,1,0,0.28403425,0.338840098
02/04/1963,2,Syria,Syria,Tunisia,Tunisia,0,1,UAFA Cup,Beirut,Lebanon,1963,3,4,-1,1,1,1,loser,winner,19,2,0,1,0.23747755,0.31524677
04/04/1963,4,Jordan,Jordan,Tunisia,Tunisia,0,4,UAFA Cup,Beirut,Lebanon,1963,3,4,-4,4,4,4,loser,winner,20,2,1,1,0.25259274,0.249420375
06/04/1963,6,Kuwait,Kuwait,Tunisia,Tunisia,1,5,UAFA Cup,Beirut,Lebanon,1963,3,4,-4,4,4,6,loser,winner,21,2,0,1,0.18556777,0.955191304
06/04/1963,6,Lebanon,Lebanon,Jordan,Jordan,5,0,UAFA Cup,Beirut,Lebanon,1963,3,4,5,-5,5,5,winner,loser,22,2,1,1,0.4308479,0.047353799
07/04/1963,7,Kuwait,Kuwait,Syria,Syria,0,4,UAFA Cup,Beirut,Lebanon,1963,3,4,-4,4,4,4,loser,winner,23,2,0,0,0.86717819,0.068053974
07/04/1963,7,Lebanon,Lebanon,Tunisia,Tunisia,0,1,UAFA Cup,Beirut,Lebanon,1963,3,4,-1,1,1,1,loser,winner,24,2,1,1,0.00086479,0.115828651
09/06/1963,9,Tunisia,Tunisia,Lebanon,Lebanon,2,0,Friendly,Tunis,Tunisia,1963,3,6,2,-2,2,2,winner,loser,25,2,1,1,0.9324927,0.222047373
02/07/1963,2,Morocco,Morocco,Tunisia,Tunisia,4,2,African Cup of Nations qualification,Casablanca,Morocco,1963,3,7,2,-2,2,6,winner,loser,26,2,0,1,0.03950452,0.944538034
07/07/1963,7,Algeria,Algeria,Egypt,Egypt,2,2,Friendly,Oran,Algeria,1963,3,7,0,0,0,4,draw,draw,27,2,1,1,0.46037626,0.082661538
30/03/1970,30,Bahrain,Bahrain,Saudi Arabia,Saudi_Arabia,0,0,Gulf Cup,Isa Town,Bahrain,1970,0,3,0,0,0,0,draw,draw,98,3,0,0,0.86416832,0.757488119
26/11/1963,26,Egypt,Egypt,Sudan,Sudan,2,2,African Cup of Nations,Kumasi,Ghana,1963,3,11,0,0,0,4,draw,draw,29,2,1,1,0.62554246,0.123229948
15/12/1963,15,Tunisia,Tunisia,Algeria,Algeria,0,0,Friendly,Tunis,Tunisia,1963,3,12,0,0,0,0,draw,draw,30,2,1,1,0.01420705,0.032041645
08/03/1964,8,Libya,Libya,Lebanon,Lebanon,0,1,Friendly,Tripoli,Libya,1964,4,3,-1,1,1,1,loser,winner,31,2,0,1,0.8923957,0.654478929
20/03/1964,20,Egypt,Egypt,Algeria,Algeria,1,0,Friendly,Cairo,Egypt,1964,4,3,1,-1,1,1,winner,loser,32,2,1,1,0.65234193,0.032167917
13/11/1964,13,Jordan,Jordan,Lebanon,Lebanon,0,0,UAFA Cup,Kuwait City,Kuwait,1964,4,11,0,0,0,0,draw,draw,33,2,1,1,0.96464055,0.551133338
13/11/1964,13,Kuwait,Kuwait,Iraq,Iraq,0,1,UAFA Cup,Kuwait City,Kuwait,1964,4,11,-1,1,1,1,loser,winner,34,2,0,0,0.24347977,0.661438353
15/11/1964,15,Kuwait,Kuwait,Jordan,Jordan,2,0,UAFA Cup,Kuwait City,Kuwait,1964,4,11,2,-2,2,2,winner,loser,35,2,0,1,0.89598285,0.050280788
15/11/1964,15,Libya,Libya,Lebanon,Lebanon,2,1,UAFA Cup,Kuwait City,Kuwait,1964,4,11,1,-1,1,3,winner,loser,36,2,0,1,0.40308067,0.335517987
16/11/1964,16,Kuwait,Kuwait,Libya,Libya,1,1,UAFA Cup,Kuwait City,Kuwait,1964,4,11,0,0,0,2,draw,draw,37,2,0,0,0.03789931,0.684556607
17/11/1964,17,Iraq,Iraq,Lebanon,Lebanon,1,0,UAFA Cup,Kuwait City,Kuwait,1964,4,11,1,-1,1,1,winner,loser,38,2,0,1,0.31881424,0.146264568
17/11/1964,17,Jordan,Jordan,Libya,Libya,2,5,UAFA Cup,Kuwait City,Kuwait,1964,4,11,-3,3,3,7,loser,winner,39,2,1,0,0.26640486,0.629691526
19/11/1964,19,Kuwait,Kuwait,Lebanon,Lebanon,2,3,UAFA Cup,Kuwait City,Kuwait,1964,4,11,-1,1,1,5,loser,winner,40,2,0,1,0.01343218,0.403666847
28/02/1965,28,Tunisia,Tunisia,Morocco,Morocco,0,0,Friendly,Tunis,Tunisia,1965,5,2,0,0,0,0,draw,draw,41,2,1,0,0.35577571,0.137977452
12/03/1965,12,Kuwait,Kuwait,Morocco,Morocco,0,2,Friendly,Tripoli,Libya,1965,5,3,-2,2,2,2,loser,winner,42,2,0,0,0.87498141,0.220071884
14/03/1965,14,Libya,Libya,Kuwait,Kuwait,4,1,Friendly,Tripoli,Libya,1965,5,3,3,-3,3,5,winner,loser,43,2,0,0,0.64348969,0.982232691
19/03/1965,19,Libya,Libya,Morocco,Morocco,1,0,Friendly,Tripoli,Libya,1965,5,3,1,-1,1,1,winner,loser,44,2,0,0,0.25601708,0.772501122
02/05/1965,2,Morocco,Morocco,Tunisia,Tunisia,0,1,Friendly,Casablanca,Morocco,1965,5,5,-1,1,1,1,loser,winner,45,2,0,1,0.01358908,0.27179077
30/07/1965,30,Jordan,Jordan,Iraq,Iraq,0,0,Friendly,Amman,Jordan,1965,5,7,0,0,0,0,draw,draw,46,2,1,0,0.24759707,0.801612826
31/10/1965,31,Algeria,Algeria,Morocco,Morocco,0,0,Friendly,Algiers,Algeria,1965,5,10,0,0,0,0,draw,draw,47,2,1,0,0.61419243,0.115292948
06/03/1966,6,Morocco,Morocco,Algeria,Algeria,1,0,Friendly,Casablanca,Morocco,1966,6,3,1,-1,1,1,winner,loser,48,2,0,1,0.92486413,0.780468108
11/03/1966,11,Libya,Libya,Morocco,Morocco,4,0,Friendly,Tripoli,Libya,1966,6,3,4,-4,4,4,winner,loser,49,2,0,0,0.37926997,0.582542783
14/03/1966,14,Libya,Libya,Iraq,Iraq,0,2,Friendly,Tripoli,Libya,1966,6,3,-2,2,2,2,loser,winner,50,2,0,0,0.42594083,0.671616716
18/03/1966,18,Iraq,Iraq,Morocco,Morocco,0,1,Friendly,Tripoli,Libya,1966,6,3,-1,1,1,1,loser,winner,51,2,0,0,0.33845419,0.594813128
19/03/1966,19,Iraq,Iraq,Morocco,Morocco,1,2,Friendly,Tripoli,Libya,1966,6,3,-1,1,1,3,loser,winner,52,2,0,0,0.08044283,0.392636857
01/04/1966,1,Bahrain,Bahrain,Kuwait,Kuwait,4,4,UAFA Cup,Baghdad,Iraq,1966,6,4,0,0,0,8,draw,draw,53,2,0,0,0.46832572,0.990053274
01/04/1966,1,Iraq,Iraq,Lebanon,Lebanon,0,0,UAFA Cup,Baghdad,Iraq,1966,6,4,0,0,0,0,draw,draw,54,2,0,1,0.64308129,0.869468592
02/04/1966,2,Libya,Libya,Palestine,Palestine,0,0,UAFA Cup,Baghdad,Iraq,1966,6,4,0,0,0,0,draw,draw,55,2,0,0,0.33941924,0.395022971
02/04/1966,2,Syria,Syria,Yemen,Yemen,4,1,UAFA Cup,Baghdad,Iraq,1966,6,4,3,-3,3,5,winner,loser,56,2,0,1,0.00144116,0.644570941
03/04/1966,3,Bahrain,Bahrain,Lebanon,Lebanon,1,6,UAFA Cup,Baghdad,Iraq,1966,6,4,-5,5,5,7,loser,winner,57,2,0,1,0.40569729,0.172503607
03/04/1966,3,Iraq,Iraq,Jordan,Jordan,2,1,UAFA Cup,Baghdad,Iraq,1966,6,4,1,-1,1,3,winner,loser,58,2,0,1,0.80356545,0.423107258
04/04/1966,4,Libya,Libya,Syria,Syria,0,0,UAFA Cup,Baghdad,Iraq,1966,6,4,0,0,0,0,draw,draw,59,2,0,0,0.95564446,0.782841346
04/04/1966,4,Palestine,Palestine,Yemen,Yemen,7,0,UAFA Cup,Baghdad,Iraq,1966,6,4,7,-7,7,7,winner,loser,60,2,0,1,0.34639142,0.178434135
05/04/1966,5,Iraq,Iraq,Kuwait,Kuwait,3,1,UAFA Cup,Baghdad,Iraq,1966,6,4,2,-2,2,4,winner,loser,61,2,0,0,0.94640828,0.054250369
05/04/1966,5,Jordan,Jordan,Lebanon,Lebanon,1,2,UAFA Cup,Baghdad,Iraq,1966,6,4,-1,1,1,3,loser,winner,62,2,1,1,0.66339359,0.903990439
06/04/1966,6,Libya,Libya,Yemen,Yemen,14,0,UAFA Cup,Baghdad,Iraq,1966,6,4,14,-14,14,14,winner,loser,63,2,0,1,0.46716302,0.783590443
06/04/1966,6,Palestine,Palestine,Syria,Syria,1,3,UAFA Cup,Baghdad,Iraq,1966,6,4,-2,2,2,4,loser,winner,64,2,0,0,0.40890327,0.053357387
07/04/1966,7,Iraq,Iraq,Bahrain,Bahrain,10,1,UAFA Cup,Baghdad,Iraq,1966,6,4,9,-9,9,11,winner,loser,65,2,0,0,0.08040813,0.407796785
07/04/1966,7,Jordan,Jordan,Kuwait,Kuwait,2,2,UAFA Cup,Baghdad,Iraq,1966,6,4,0,0,0,4,draw,draw,66,2,1,0,0.1190751,0.707719278
08/04/1966,8,Iraq,Iraq,Libya,Libya,3,1,UAFA Cup,Baghdad,Iraq,1966,6,4,2,-2,2,4,winner,loser,67,2,0,0,0.56384711,0.027725122
08/04/1966,8,Lebanon,Lebanon,Syria,Syria,0,1,UAFA Cup,Baghdad,Iraq,1966,6,4,-1,1,1,1,loser,winner,68,2,1,0,0.872115,0.718228018
09/04/1966,9,Bahrain,Bahrain,Jordan,Jordan,1,2,UAFA Cup,Baghdad,Iraq,1966,6,4,-1,1,1,3,loser,winner,69,2,0,1,0.95646486,0.782307826
09/04/1966,9,Kuwait,Kuwait,Lebanon,Lebanon,1,2,UAFA Cup,Baghdad,Iraq,1966,6,4,-1,1,1,3,loser,winner,70,2,0,1,0.87787158,0.144242223
10/04/1966,10,Iraq,Iraq,Syria,Syria,2,1,UAFA Cup,Baghdad,Iraq,1966,6,4,1,-1,1,3,winner,loser,71,2,0,0,0.86346451,0.114216318
10/04/1966,10,Libya,Libya,Lebanon,Lebanon,6,1,UAFA Cup,Baghdad,Iraq,1966,6,4,5,-5,5,7,winner,loser,72,2,0,1,0.85037523,0.750488165
24/11/1966,24,Algeria,Algeria,Morocco,Morocco,2,2,Friendly,Algiers,Algeria,1966,6,11,0,0,0,4,draw,draw,73,2,1,0,0.77212035,0.328896364
25/11/1966,25,Palestine,Palestine,Yemen,Yemen,5,3,GaNEFo,Phnom Penh,Cambodia,1966,6,11,2,-2,2,8,winner,loser,74,2,0,1,0.87103506,0.016632863
09/12/1966,9,Libya,Libya,Egypt,Egypt,2,2,African Cup of Nations qualification,Tripoli,Libya,1966,6,12,0,0,0,4,draw,draw,75,2,0,1,0.43418279,0.005381701
07/03/1967,7,Libya,Libya,Sudan,Sudan,1,1,Friendly,Tripoli,Libya,1967,7,3,0,0,0,2,draw,draw,76,2,0,1,0.88115893,0.982293285
10/03/1967,10,Iraq,Iraq,Sudan,Sudan,2,2,Friendly,Tripoli,Libya,1967,7,3,0,0,0,4,draw,draw,77,2,0,1,0.00759754,0.951284464
12/03/1967,12,Libya,Libya,Iraq,Iraq,0,1,Friendly,Tripoli,Libya,1967,7,3,-1,1,1,1,loser,winner,78,2,0,0,0.40685973,0.35829492
28/03/1970,28,Saudi Arabia,Saudi_Arabia,Kuwait,Kuwait,1,3,Gulf Cup,Isa Town,Bahrain,1970,0,3,-2,2,2,4,loser,winner,97,3,0,0,0.58097776,0.965878435
17/03/1968,17,Morocco,Morocco,Algeria,Algeria,0,0,Friendly,Casablanca,Morocco,1968,8,3,0,0,0,0,draw,draw,80,2,0,1,0.2539431,0.342892823
17/11/1968,17,Algeria,Algeria,Tunisia,Tunisia,1,2,FIFA World Cup qualification,Algiers,Algeria,1968,8,11,-1,1,1,3,loser,winner,81,2,1,1,0.50079097,0.296430429
29/12/1968,29,Tunisia,Tunisia,Algeria,Algeria,0,0,FIFA World Cup qualification,Tunis,Tunisia,1968,8,12,0,0,0,0,draw,draw,82,2,1,1,0.47823314,0.242033436
09/03/1969,9,Algeria,Algeria,Morocco,Morocco,2,0,African Cup of Nations qualification,Algiers,Algeria,1969,9,3,2,-2,2,2,winner,loser,83,2,1,0,0.64450593,0.066703352
27/04/1969,27,Tunisia,Tunisia,Morocco,Morocco,0,0,FIFA World Cup qualification,Tunis,Tunisia,1969,9,4,0,0,0,0,draw,draw,84,2,1,0,0.79321913,0.382039882
18/05/1969,18,Morocco,Morocco,Tunisia,Tunisia,0,0,FIFA World Cup qualification,Casablanca,Morocco,1969,9,5,0,0,0,0,draw,draw,85,2,0,1,0.17819098,0.43518825
13/06/1969,13,Tunisia,Tunisia,Morocco,Morocco,2,2,FIFA World Cup qualification,Marseille,France,1969,9,6,0,0,0,4,draw,draw,86,2,1,0,0.18251334,0.937083981
19/09/1969,19,Egypt,Egypt,Algeria,Algeria,1,0,African Cup of Nations qualification,Cairo,Egypt,1969,9,9,1,-1,1,1,winner,loser,87,2,1,1,0.15654672,0.226932958
28/09/1969,28,Algeria,Algeria,Egypt,Egypt,1,1,African Cup of Nations qualification,Algiers,Algeria,1969,9,9,0,0,0,2,draw,draw,88,2,1,1,0.30744642,0.044093315
10/10/1969,10,Sudan,Sudan,Morocco,Morocco,0,0,FIFA World Cup qualification,Khartoum,Sudan,1969,9,10,0,0,0,0,draw,draw,89,2,1,0,0.75998745,0.19881198
15/10/1969,15,Tunisia,Tunisia,Palestine,Palestine,1,1,Friendly,Tunis,Tunisia,1969,9,10,0,0,0,2,draw,draw,90,2,1,0,0.75743485,0.376301882
23/10/1969,23,Algeria,Algeria,Palestine,Palestine,2,0,Friendly,Algiers,Algeria,1969,9,10,2,-2,2,2,winner,loser,91,2,1,0,0.51772979,0.680379246
26/10/1969,26,Morocco,Morocco,Sudan,Sudan,3,0,FIFA World Cup qualification,Casablanca,Morocco,1969,9,10,3,-3,3,3,winner,loser,92,2,0,1,0.56261936,0.615616054
30/10/1969,30,Algeria,Algeria,Morocco,Morocco,1,0,Friendly,Algiers,Algeria,1969,9,10,1,-1,1,1,winner,loser,93,2,1,0,0.90455252,0.338647622
02/11/1969,2,Egypt,Egypt,Sudan,Sudan,3,1,Friendly,Cairo,Egypt,1969,9,11,2,-2,2,4,winner,loser,94,2,1,1,0.61863609,0.609746718
14/02/1970,14,Sudan,Sudan,Egypt,Egypt,2,1,African Cup of Nations,Khartoum,Sudan,1970,0,2,1,-1,1,3,winner,loser,95,3,1,1,0.9631525,0.376211977
27/03/1970,27,Bahrain,Bahrain,Qatar,Qatar,2,1,Gulf Cup,Isa Town,Bahrain,1970,0,3,1,-1,1,3,winner,loser,96,3,0,1,0.47420907,0.30506105
02/04/1970,2,Saudi Arabia,Saudi_Arabia,Qatar,Qatar,1,1,Gulf Cup,Isa Town,Bahrain,1970,0,4,0,0,0,2,draw,draw,100,3,0,1,0.64210136,0.847830486
16/03/1974,16,Qatar,Qatar,Saudi Arabia,Saudi_Arabia,0,2,Gulf Cup,Kuwait City,Kuwait,1974,4,3,-2,2,2,2,loser,winner,198,3,1,0,0.88157059,0.878943467
31/03/1970,31,Kuwait,Kuwait,Qatar,Qatar,4,2,Gulf Cup,Isa Town,Bahrain,1970,0,3,2,-2,2,6,winner,loser,99,3,0,1,0.31237909,0.463474024
16/03/1972,16,Saudi Arabia,Saudi_Arabia,Kuwait,Kuwait,2,2,Gulf Cup,Riyadh,Saudi Arabia,1972,2,3,0,0,0,4,draw,draw,150,3,0,0,0.81984294,0.625500935
03/04/1970,3,Bahrain,Bahrain,Kuwait,Kuwait,1,3,Gulf Cup,Isa Town,Bahrain,1970,0,4,-2,2,2,4,loser,winner,101,3,0,0,0.89633012,0.251611759
01/09/1970,1,Libya,Libya,Tunisia,Tunisia,2,2,Friendly,Benghazi,Libya,1970,0,9,0,0,0,4,draw,draw,102,3,0,1,0.74301294,0.389358369
04/09/1970,4,Libya,Libya,Tunisia,Tunisia,3,2,Friendly,Tripoli,Libya,1970,0,9,1,-1,1,5,winner,loser,103,3,0,1,0.29879026,0.051024676
24/09/1970,24,Tunisia,Tunisia,Libya,Libya,2,0,Friendly,Tunis,Tunisia,1970,0,9,2,-2,2,2,winner,loser,104,3,1,0,0.27766283,0.693336099
10/12/1970,10,Algeria,Algeria,Morocco,Morocco,3,1,African Cup of Nations qualification,Algiers,Algeria,1970,0,12,2,-2,2,4,winner,loser,105,3,1,0,0.48697212,0.524406211
27/12/1970,27,Libya,Libya,Egypt,Egypt,0,1,African Cup of Nations qualification,Tripoli,Libya,1970,0,12,-1,1,1,1,loser,winner,106,3,0,1,0.02279781,0.681766769
27/12/1970,27,Morocco,Morocco,Algeria,Algeria,3,0,African Cup of Nations qualification,Casablanca,Morocco,1970,0,12,3,-3,3,3,winner,loser,107,3,0,1,0.26764996,0.929608299
03/01/1971,3,Egypt,Egypt,Libya,Libya,2,1,African Cup of Nations qualification,Cairo,Egypt,1971,1,1,1,-1,1,3,winner,loser,108,3,1,0,0.78353196,0.094077833
28/01/1971,28,Kuwait,Kuwait,Iraq,Iraq,0,2,Friendly,Kuwait City,Kuwait,1971,1,1,-2,2,2,2,loser,winner,109,3,0,0,0.33623217,0.241202026
09/07/1971,9,Libya,Libya,Syria,Syria,2,1,Friendly,Benghazi,Libya,1971,1,7,1,-1,1,3,winner,loser,110,3,0,0,0.15886884,0.146810724
11/07/1971,11,Egypt,Egypt,Syria,Syria,1,0,Friendly,Benghazi,Libya,1971,1,7,1,-1,1,1,winner,loser,111,3,1,0,0.07727819,0.46918346
11/07/1971,11,Sudan,Sudan,Palestine,Palestine,1,1,Friendly,Tripoli,Libya,1971,1,7,0,0,0,2,draw,draw,112,3,1,0,0.67587345,0.007556942
13/07/1971,13,Libya,Libya,Egypt,Egypt,0,2,Friendly,Benghazi,Libya,1971,1,7,-2,2,2,2,loser,winner,113,3,0,1,0.91672509,0.950884402
16/07/1971,16,Libya,Libya,Sudan,Sudan,4,6,Friendly,Benghazi,Libya,1971,1,7,-2,2,2,10,loser,winner,114,3,0,1,0.2404535,0.619938802
18/07/1971,18,Libya,Libya,Egypt,Egypt,2,0,Friendly,Tripoli,Libya,1971,1,7,2,-2,2,2,winner,loser,115,3,0,1,0.80536474,0.639922057
19/11/1971,19,Iraq,Iraq,Kuwait,Kuwait,3,1,Friendly,Baghdad,Iraq,1971,1,11,2,-2,2,4,winner,loser,116,3,0,0,0.41068624,0.564923142
24/11/1971,24,Libya,Libya,Algeria,Algeria,0,0,Friendly,Tripoli,Libya,1971,1,11,0,0,0,0,draw,draw,117,3,0,1,0.01070392,0.94161767
10/12/1971,10,Kuwait,Kuwait,Iraq,Iraq,1,1,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,0,0,0,2,draw,draw,118,3,0,0,0.99709258,0.009250736
11/12/1971,11,Bahrain,Bahrain,Lebanon,Lebanon,3,0,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,3,-3,3,3,winner,loser,119,3,0,1,0.14765497,0.545420963
11/12/1971,11,Syria,Syria,Jordan,Jordan,0,0,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,0,0,0,0,draw,draw,120,3,0,1,0.86928088,0.041488195
13/12/1971,13,Jordan,Jordan,Bahrain,Bahrain,3,2,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,1,-1,1,5,winner,loser,121,3,1,0,0.30807563,0.107597218
14/12/1971,14,Kuwait,Kuwait,Lebanon,Lebanon,1,0,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,1,-1,1,1,winner,loser,122,3,0,1,0.91569656,0.824196379
15/12/1971,15,Iraq,Iraq,Bahrain,Bahrain,1,0,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,1,-1,1,1,winner,loser,123,3,0,0,0.99675535,0.545520252
17/12/1971,17,Kuwait,Kuwait,Syria,Syria,2,2,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,0,0,0,4,draw,draw,124,3,0,0,0.49587085,0.643519086
18/12/1971,18,Iraq,Iraq,Jordan,Jordan,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,2,-2,2,2,winner,loser,125,3,0,1,0.46848955,0.104792987
19/12/1971,19,Lebanon,Lebanon,Syria,Syria,3,2,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,1,-1,1,5,winner,loser,126,3,1,0,0.7526673,0.71187889
21/12/1971,21,Kuwait,Kuwait,Jordan,Jordan,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,2,-2,2,2,winner,loser,127,3,0,1,0.49309688,0.409469717
22/12/1971,22,Iraq,Iraq,Lebanon,Lebanon,4,1,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,3,-3,3,5,winner,loser,128,3,0,1,0.07553587,0.858355301
24/12/1971,24,Kuwait,Kuwait,Iraq,Iraq,0,1,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,-1,1,1,1,loser,winner,129,3,0,0,0.3406282,0.226418655
24/12/1971,24,Lebanon,Lebanon,Jordan,Jordan,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,1971,1,12,2,-2,2,2,winner,loser,130,3,1,1,0.27162795,0.014366366
01/01/1972,1,Algeria,Algeria,Palestine,Palestine,2,0,Friendly,Baghdad,Iraq,1972,2,1,2,-2,2,2,winner,loser,131,3,1,0,0.40028921,0.337770267
01/01/1972,1,Iraq,Iraq,Egypt,Egypt,0,0,Friendly,Baghdad,Iraq,1972,2,1,0,0,0,0,draw,draw,132,3,0,1,0.29466631,0.893787123
01/01/1972,1,Kuwait,Kuwait,Libya,Libya,3,2,Friendly,Baghdad,Iraq,1972,2,1,1,-1,1,5,winner,loser,133,3,0,0,0.19156586,0.494143379
01/01/1972,1,Syria,Syria,Yemen,Yemen,1,0,Friendly,Baghdad,Iraq,1972,2,1,1,-1,1,1,winner,loser,134,3,0,1,0.22524498,0.415199477
04/01/1972,4,Algeria,Algeria,Qatar,Qatar,3,0,Friendly,Baghdad,Iraq,1972,2,1,3,-3,3,3,winner,loser,135,3,1,1,0.11848779,0.436367461
04/01/1972,4,Palestine,Palestine,Syria,Syria,1,3,Friendly,Baghdad,Iraq,1972,2,1,-2,2,2,4,loser,winner,136,3,0,0,0.95045893,0.534609941
05/01/1972,5,Egypt,Egypt,Kuwait,Kuwait,2,0,Friendly,Baghdad,Iraq,1972,2,1,2,-2,2,2,winner,loser,137,3,1,0,0.77557888,0.628961893
05/01/1972,5,Iraq,Iraq,Libya,Libya,3,0,Friendly,Baghdad,Iraq,1972,2,1,3,-3,3,3,winner,loser,138,3,0,0,0.08141532,0.763961113
06/01/1972,6,Palestine,Palestine,Yemen,Yemen,1,2,Friendly,Baghdad,Iraq,1972,2,1,-1,1,1,3,loser,winner,139,3,0,1,0.59774022,0.558764165
06/01/1972,6,Syria,Syria,Qatar,Qatar,3,2,Friendly,Baghdad,Iraq,1972,2,1,1,-1,1,5,winner,loser,140,3,0,1,0.23436791,0.939713584
07/01/1972,7,Egypt,Egypt,Libya,Libya,1,1,Friendly,Baghdad,Iraq,1972,2,1,0,0,0,2,draw,draw,141,3,1,0,0.90074753,0.89387781
07/01/1972,7,Iraq,Iraq,Kuwait,Kuwait,3,1,Friendly,Baghdad,Iraq,1972,2,1,2,-2,2,4,winner,loser,142,3,0,0,0.20383712,0.823713493
08/01/1972,8,Algeria,Algeria,Syria,Syria,0,1,Friendly,Baghdad,Iraq,1972,2,1,-1,1,1,1,loser,winner,143,3,1,0,0.69914827,0.27629148
08/01/1972,8,Qatar,Qatar,Yemen,Yemen,1,2,Friendly,Baghdad,Iraq,1972,2,1,-1,1,1,3,loser,winner,144,3,1,1,0.3133125,0.221896958
10/01/1972,10,Algeria,Algeria,Yemen,Yemen,4,1,Friendly,Baghdad,Iraq,1972,2,1,3,-3,3,5,winner,loser,145,3,1,1,0.61444219,0.551291688
10/01/1972,10,Palestine,Palestine,Qatar,Qatar,7,2,Friendly,Baghdad,Iraq,1972,2,1,5,-5,5,9,winner,loser,146,3,0,1,0.7397965,0.236980477
12/01/1972,12,Iraq,Iraq,Algeria,Algeria,3,1,Friendly,Baghdad,Iraq,1972,2,1,2,-2,2,4,winner,loser,147,3,0,1,0.91721692,0.1324447
